text,airline_sentiment,labels
trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter.  via,neutral,1
replacing  with beer! Bravo!👏👏 Cheers! 🍻🍻,positive,2
..off to vegas,neutral,1
", real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice",negative,0
do it again!   I will now miss one or probably both our Aspen events. #Fail,negative,0
since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,positive,2
I feel sorry for AA,negative,0
also checked email you have on file for me and it is correct,neutral,1
"i was just severely upset by the rude cs rep. I get she's prob stressed, but I am too! An ""aw, let me help"" cld mk it btr",negative,0
you can help by now finding my baggage!!  Reply to me ASAP with who I can direct details to.,negative,0
"what a joke you can mail
The receipt !! Yet. We can't mail
Them
A payment and fly before hand right",negative,0
I'm frustrated by all of the  attitude toward #ExecPlat members. #thenewamerican,negative,0
your message was delayed I just responded,neutral,1
“:  We don't like to hear this. Is there anything we can help with? Thanks. ^EY” another empty offer for help.,negative,0
"We had 2 great flights into and out of the Bahamas, even during the bad weather in the northeast, thanks for the great service!!!",positive,2
understood and so does us airways.  Getting through tsa is the problem,negative,0
". Yes, total of 4 hours on hold. With all the Cancelled Flightlations, one would think there would be more staff. Decided to cx and drive",negative,0
"Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great.",neutral,1
40+ minutes waiting at the gate for the broken jetway. Different gate maybe?,negative,0
having trouble getting rebooked,negative,0
"I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!",neutral,1
", ask your new colleagues  how they handled US 728 on 21 Feb. I expect to be made whole again. Check complaint inbox.",negative,0
"ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ",negative,0
your seats are god awful.,negative,0
thank you,neutral,1
1951 BOS to ORD,neutral,1
I've been calling you for 3 straight days and no one picks up. Sure there are storms but there are also #customers Holler!,negative,0
"I sure hope you all can fix . Good luck, their service sucks. #nexttimeiwillflysouthwest",negative,0
on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights,negative,0
"I already did. My question is, why does it still say in progress on ? It's been 6 days.",negative,0
no m'good. Just get me home,neutral,1
want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke,negative,0
"Your new mileage policy is awful. Before, I might have paid slightly more for United because of miles. Now there's no difference.",negative,0
. Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,negative,0
how do I get a copy of my last flight showing original time and delay? I need it for work. Thanks!,neutral,1
I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.,negative,0
thanks!,positive,2
Are you now flying 763s to Madrid from JFK or is this DFW/ORD? Huge !!,neutral,1
Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.,negative,0
😂😂😂 “: Our fleet's on fleek.,neutral,1
thank you will do!! You guy are awesome!,positive,2
yes. Just sayin' that was a particularly poorly handled situation.,negative,0
can you DM me &amp; add me to the upgrade list for a flt tonight?,neutral,1
Looking forward to out Power of Inclusion event with very special guests! We will begin promptly at 11:30 a.m. #SWADiversity,neutral,1
in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?,negative,0
3/10 disappointed in the service. Will be missing my connection after over an hour delay + cramped seats. At least their app is good,negative,0
delayed I'm charlotte big surprise,negative,0
No worries. Don't blame you for weather.,neutral,1
I'm dumping this dividend miles card and forgetting your airline exists #ridiculous #theworstairlineever,negative,0
"Your staff, both on deck and in the cabin on UA768 SFO -&gt; BOS were exceptional today. Please tell them well done :)",positive,2
's CEO battles to appease passengers and Wall Street -,negative,0
I was on hold for two hours and finally hung up. I was able to do what I needed to without customer service eventually.,negative,0
it's not just frustrating--it was PAID for! how do we get a refund?,negative,0
I will. I love flying with you all. Great service.,positive,2
is having a party in the atl terminal. #letitgo,neutral,1
2 employee yelled at her. 3 employee stood with others whispering and pointing at her from behind counter,negative,0
After 3 days NO BAGs amazing the way that you neglect customers,negative,0
"not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?",negative,0
team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative,0
Taylor.  U gotta love SWA responsiveness at the least huh?,negative,0
"I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",negative,0
is there also a way I can get a printed one for my records? I keep them whenever I fly ;),neutral,1
good care of their customers if anything happen to then take you   for getting me back to NYC !! Screw you,negative,0
2nd February in a row- stranded us when we try to return from Cancun! No contact info- no way to rebook! #badcustomerservice,negative,0
#kudos! And we're done and heading to warmer weather!,positive,2
#Bluemanity  loves this. Have a great time flying this,positive,2
"Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA",positive,2
any idea where the plane for flight 672 is coming from? I thought flight 305 from JFK but that wouldn't explain delay.,negative,0
why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,negative,0
. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?,neutral,1
"not cool. At the gate, turns out my flight from FLL to JAX is delayed, yet app says on time. Not a good start.",negative,0
can someone help me set up a callback today?,negative,0
"hey guys, due to some horrible customer service issues is there any way I can get a checked bag credit?",negative,0
. she needs a wheelchair at the gate for sure. What options does she have?,neutral,1
my friends are stranded at KPHL and the representatives there won't even give them food vouchers…any help please?,negative,0
looks like I'm settled in to where I'm going.  Thx.,positive,2
"no. Other than being on my credit card statement, I have not received anything from you and so I have no way to look it up myself",negative,0
record l#oaaret got email we couldn't get rescheduled on another flight but don't know if flight is Cancelled Flightled,negative,0
almost an hour on hold for swa is inexcusable #hiremorepeople,negative,0
LAUREN OMG BEST AIRLINE EVER,positive,2
"cs thinks that miles can repair the damage done, it will be interesting if they travel in  and exp the worst flight ever!",negative,0
You're welcome.,positive,2
No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,negative,0
2+ hr wait &amp; really bad exp . luggage won't arrive w/ me Do I really have 2go back LAS airport 2 pick up when arrives?,negative,0
staff was overall awful through multiple airports would have switched airlines if another flight was available,negative,0
"I paid extra $ for my seat &amp; the monitor didn't work from on AA111. How about a refund on the seat? Conf #: MDBEEI, McMullen",negative,0
Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!,positive,2
our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?,negative,0
"Need to change flight, but the CS # is telling me it can't take my call. Can't change online. Please help. Flight is this week.",negative,0
"Miami-PhL flight Cancelled Flightled just as I got to the gate. No one from AA around, no one on the phone. Awful awful awful.",negative,0
you've got to be kidding. Look at the pictures.  I'm hoping it's on the flight that just came in. The whole story is 2 much,negative,0
the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. 😊,positive,2
you Cancelled Flight both flights yesterday and rebook me in middle seat. Not acceptable. Upgrade to emergency row would help. #nothappy,negative,0
Held up for almost 45 minutes and then promised free movies and it didn't work and neither did the wifi that was paid for. Boo :(,negative,0
whom can I call to discuss - as I was told that united has no phone contact with passengers  - this is absurd...,negative,0
. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,negative,0
"Guys, let it go.",positive,2
my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.,negative,0
that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD,negative,0
"tweet bots obviously don't get sarcasm, making computers more and more like real people.",negative,0
I am still in the airport waiting for my flight.,negative,0
"thanks for the call on my Cancelled Flightled flight, NOT!  Flight Booking Problems me for Tues no good weather caused me 2 leave early",negative,0
45 minute delay for take off and 30 minute wait for checked bags? Really?,negative,0
I ❤️ flying . ☺️👍,positive,2
will there a non-stop flight from Midway to Boise for this summer season? Looking to book at labor day trip.  Ty,neutral,1
One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...,negative,0
you know I'm flying virgin for the fight #MayweatherPacquiao,neutral,1
plz don't advertise wifi if it's not gonna work thanks #worstflightever,negative,0
I sure do. I'm running version 3.10.0,neutral,1
"your customer service is a joke. First a mechanical Cancelled Flightation, now weather. On hold since 5:30 am. No humans. Pls call me!",negative,0
"glitches on website re: Flight Booking Problems travel &amp; checking in. Nothing between ur site &amp; the airport was communicated, it was a nightmare.",negative,0
keep going back and forth with being able to board and then not. But great agents in savannah!,positive,2
there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground.  #liars #united,negative,0
's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead,negative,0
flight from san fransico to jfk was evacuated why?,negative,0
I mean is there a real live person somewhere I can go and speak to at Newark post security?,negative,0
I'm not sure why I expected anyone to be here,negative,0
All flights are booked . They are saying I have to wait until tomorrow.,negative,0
hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved,negative,0
its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??,negative,0
i forgot to put my tsa pre number in before I checked in. It is now in my profile but will it be on my boarding pass in the am,neutral,1
"the woman working the counter in philly at 630 this am needs to be fired. Due to bad weather, I along with other passengers",negative,0
Thanks!,positive,2
"besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage",negative,0
I cannot believe how long flight 759 PHI  is taking. I know it's US Airways but you own it. I would really like to get home.,negative,0
not making a great first impression on my first flight. 20 minutes before boarding and the gate agent still can't assign me a seat?,negative,0
beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting,negative,0
saving my sanity. Leaving it behind for sunshine. #escape #FL #bliss #travel #InDenial #WhatFrozenPipes,neutral,1
"bull crap.  I spent $600 on a recent trip.  That's not small change. I got 10,000 AA miles.  Would have only been 6600 UA",negative,0
best customer service rep in the world! #irmafromDallas takes the cake!!!,positive,2
...have you seen Blue? Go look it up :),positive,2
Of course you are because that's your companies job! You guys failed at it in the first place. Upgrade me and then we'll talk.,neutral,1
just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,negative,0
it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,negative,0
"big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",positive,2
I did they did not.  I did submit a complaint on line and never heard back from that - I don't have that ID- you should find it,negative,0
calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.,negative,0
please....can I have the last tickets for me and my best friend to #DestinationDragons,neutral,1
"I need to speak to a REAL PERSON. My flight was Cancelled Flightled with no explanation, and I've been on hold for more than 3 hours.",negative,0
"seriously, you hate  since they can't accommodate you due to inclemental  weather disruptions? lol, very funny",negative,0
I spent $600 on my flight. Could have gone on  for $382 but their mileage program sucks.,negative,0
Thank you!,positive,2
#3252 Manchester-BWI being delayed for one idiot who isn't on the plane?! We've waited 2 hours for our window and may miss it,negative,0
apologies help. Would have been nice had supvsr. Sally in CLE offered one. Not usual gr8 southwest customer service I love,negative,0
"confused at the definition of a ""preferred seat."" I paid extra for one and got a regular seat with no legroom. Unimpressed.",negative,0
terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,negative,0
She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten,negative,0
"We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward",neutral,1
~45 minutes means no public transit home and an expensive cab. Promises doesn't make up for it,negative,0
"I'm just an Aussie cowgirl lookin' for my cowboy. Take me to Fort Worth, Estelle says I'll find him there!",neutral,1
or you could send me a DM.,neutral,1
has no idea what they're doing. Delay 1 flight from 5pm to 7:40pm then delay another TO THE SAME DESTINATION  @ THE SAME TIME.,negative,0
"still Effin waiting... Not weather delays, not engine trouble, but lack of crew?  Are you shitting me?",negative,0
"Yes, thanks I found those, didn't see the gray tab at first :)",neutral,1
Found someone to ask. No answers. Landed almost 40 minutes ago.,negative,0
forgetting to fuel up? Realizing there was more cargo to add to plane? One way to try and mask a delay.,negative,0
"thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight.  Airlines are the absolute worst",negative,0
its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired,negative,0
will my known traveler no. transfer over from  ? when I check in at t-24 as an AA elite I can get choice seats?,neutral,1
any idea when November-December 2015 travel opens up?,neutral,1
don't bother wasting your time!   will send u a form letter &amp; let u choose a gift certificate. #worstcustomerservice,negative,0
"another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",positive,2
thank you for the confirmation.,positive,2
my birthday is February 24th which is the date of the imagine dragons in flight concert btw,neutral,1
now a delay to the rebooked flight?!,negative,0
I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,positive,2
"better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy",negative,0
second pic from CDG?,neutral,1
Close down,negative,0
"I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye"".",negative,0
can someone please tell me who I have to talk to #getittogether #findurgrip,negative,0
any concern about Cancelled Flightled flights due to the cold weather in NJ Saturday am? Do you Cancelled Flight at 0 degrees?,neutral,1
Im researching a flight &amp; noticed a small issue w/class of service between your site &amp; other sites. Could Reservations help me?,neutral,1
"flight landed 13 hours ago, 2 more flights CMH-IAD last night and still no bag..could have driven it from CMH",negative,0
would have been nice to be offered in flight credit. Especially since I'm staring at empty overhead room.,negative,0
for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉,positive,2
#DestinationDragons  I'm a HUGE FAN! I would love tix to your show!,positive,2
how's us 1797 looking today?,neutral,1
. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver,negative,0
"Best part was hearing the attendant give a voucher to person next to me for hotel at BGR. Then my guy saying ""we don't do that""",negative,0
why would a person take hours and hours of wait time just to tell a lie,negative,0
"I already landed! But, if you still care it was 1891. Thanks for the help though!, do you k ow what caused the failure?",neutral,1
thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines,positive,2
can you help me with a delayed flight as im going to miss my connection?,negative,0
who do I need to talk to to get a full refund on my trip? Your call center offers no assistance.,negative,0
now telling me I don't have the correct tag for my luggage!!! My luggage apparently is not in LA or Charlotte. This is not ok!!,negative,0
"daughter record loc. is KYBILC. She is traveling with 3 y.o. and needs to be in adjacent seats, not across isle.",neutral,1
Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,negative,0
"- what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",negative,0
. Hopefully it's all fixed. They've got a new aircraft for us- just waiting to board.,neutral,1
"I tried for 5hrs to contact SW! Twitter, fb, phone, email w/ no reply. 24hrs Late Flightr u respond, what could you do at this point?",negative,0
Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!,positive,2
thank you,positive,2
I have received two reservation check-ins for two different flights for my one flight tomorrow morning. Need assistance ASAP,neutral,1
"my trip is a month away...why do you consider it ""around the corner""? Is that a setting I can change?",negative,0
2nd flight in two weeks that you have lost my bag!  Taking my 1K status to  #neveragain #WORSTCUSTOMERSERVICE,negative,0
That is not very gracious of  to tell me where I can go BUY water or a snack when our flight is delayed over 3 hours.,negative,0
's CEO battles to appease passengers and Wall Street -,neutral,1
#nothelpful MT : Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.,negative,0
Flight 4424 operated by  (N813MA) arrives at  following flight from Reagan National,neutral,1
why arent callings going thru it doesnt have me wait or anything and automated stuff is messed up,negative,0
why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane,negative,0
"I use to #LUV swa but after an hour and counting on hold, for a flight they Cancelled Flighted on me? #noluv",negative,0
the Premier desk was able to rebook me with our friends at . Only problem is now I have to pay for a checked bag :/,negative,0
#worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere,negative,0
is that supposed to change in the near future?,neutral,1
please change direct flights from RIC to JFK instead of LGA. Pleeeeease! LGA is the pits.,neutral,1
to jump into the #Dallas #Austin market,neutral,1
"captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. ""Greetings from the pointy end of the airplane"" haha thanks!",positive,2
flying flight 3130 tonight at 7:20 from PBI- I have boarding position C-42. Is it overbooked? Really don't want to be bumped!,neutral,1
error message said couldn't process request at the last step after seat selection on each leg. Agent was unaware of an (1 of 2),negative,0
On hold with airline 45 min and counting. Service is terrible!,negative,0
thank you for reaching out to me. Hopefully my request will be fixed and I can remain a loyal customer.,negative,0
"the dinner and called me ""hon"". Not the service I would expect from 1st class.  #disappointed",neutral,1
your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,negative,0
sure thing,positive,2
"Sure was,  with   looks like I'll make my birthday celebration after all.",negative,0
refund,negative,0
many have missed connections already b/c of delayed flight which will finally board soon,negative,0
Big kudos to your staff today at Dallas Love Field for lifting everyone's spirits today with all the delays and Cancelled Flightlations,positive,2
why do you let one person board with early bird and save seats for entire party? #notcool #flight2149,negative,0
"after a grt flight to PHX last week,  tonight was terrible. 2.5 hours taxing and you give us water and crackers to compensate.",negative,0
"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!",positive,2
good to be back. See you all again in several weeks.,positive,2
is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,negative,0
everyone is overreacting. Keep up your swag!,neutral,1
please get service started at  and offer good routes lile florida upstate ny vegas etc,negative,0
this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!,positive,2
. You'll be receiving a long &amp; detailed complaint letter soon. Long story short: never flying USAir again.,negative,0
"OK, thanks for the clarification.",neutral,1
"even  responded quicker via Twitter when they #fail.... Still on hold, hoping no one books the flight.....  #fail",negative,0
this is a big company should be happy to do something for a customer when now it's costing more for delays oh and did I mention,negative,0
A true #AmericanView ...The National Mall,neutral,1
"Been dealing with a Cancelled Flightled flight since last night &amp; was booked to a 6:15 flight,wouldve at least liked to see Ella perform lol",negative,0
and is there a delay on our connection to pns?,neutral,1
“: Our fleet's on fleek.  lol wut?,neutral,1
"poor showing today, no assistance to passengers who mis connected due to maintenance and waiting for baggage",negative,0
stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline,negative,0
"I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was.",negative,0
Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,negative,0
your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad,negative,0
thanks for being so bad you make a two day train trip look appealing!!,negative,0
Site down? #help,negative,0
"my credit card company accidentally marked my jet blue tickets as fraud, then corrected their mistake and reposted the money.",neutral,1
y'all the real MVP with these prices...,positive,2
That's pretty nice. Are flight credits automatically given after the flight? I also wish there were a lounge I could sleep in.,neutral,1
horrible experience to key west lost luggage called to check &amp; was told not to call back reconsidering my flight back,negative,0
"worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",negative,0
", your hold music sucks.",negative,0
Love JetBlue's speedy Twitter customer service.,positive,2
who would like to watch the video of how loyal customers are really treated while asking for an explanation for our 6 hour delay?,negative,0
I can't even look at you right now. I'll call you when I'm not so mad.,negative,0
"I have a flight to Vegas coming up soon, but haven’t received any drink tickets Late Flightly. Can you help me out?",neutral,1
I've spoken 2/emailed JB team and explained situation. Didnt seem to matter to anyone other than me. I guess I just expected more.,negative,0
awesome! Flight #676 out of philly on Tuesday. Party in row 15 if you're interested.,positive,2
you guys should be nice and just give your routes to jet blue and southwest.  At least they treat their customers properly.,negative,0
"I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",negative,0
"stuck on the ramp at DCA, US Air computer system crashed...everywhere.",negative,0
"Cancelled Flights my flight to NY 3 times, then once I make it here they decided for S&amp;Gs they'll Cancelled Flight my return flight too. Thanks.",negative,0
"Although it wasn't totally the answer I was looking for, I appreciate the prompt response.",positive,2
"the best is your 800 message saying to use website and your website is saying you need to call.  If you don't answer, #hardtodo",negative,0
sure but the plane is an hour Late Flight! Your ontime departure ship sailed away a long time back!,negative,0
my flight 1337 is Cancelled Flightled.  Can you let me know what my new flight info is?,negative,0
if I try and call your reservations line will someone answer the phone now or will I be on hold for an hour again?,negative,0
only happened because u couldn't get us home the next day. #flydelta #flysouthwest #flyjetblue #theyareallbetter #stillnobags,negative,0
sitting here in PHL with all of your rude Customer Service Agents!,negative,0
they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having,negative,0
"""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is.",negative,0
618 was flight out of Houston,neutral,1
needs to hire more people,negative,0
"Hey, AA! There was a mistake made by your CR on my Flight Booking Problems. When I call your reservations #, I keep getting hung up on. Advise.",negative,0
thanks for the upgrade today great way to start my week! Cc:,positive,2
WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,negative,0
"Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag.",negative,0
My Flight Booking Problems C68LD9 just times out when I select it under Manage My Flight Booking Problems for months now. I have emailed but no response. Help?,negative,0
why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service,negative,0
1917. Still sitting here. Feels badly handled.,negative,0
I FOUND MY FOOTAGE!! :D I am so so happy.,positive,2
Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,positive,2
Interesting you forward compliments but never complaints!  World's worst airline #GoingForGreatnessFAIL,negative,0
I have been trying to get through to someone about my Cancelled Flightled flight tomorrow for over 4 hours.,negative,0
I am impressed with your super-fast reply to,positive,2
this merger with   a cluster of inefficiency and misinformation.  When is it going to be done?,negative,0
that's brilliant Thankyou so much. Is it classed as part of carryon?,positive,2
Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race,neutral,1
Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,neutral,1
is anything being done to make Flight Attendants aware of AA member benefits? Embarrassing being argued with. Just happened.,negative,0
My flight was Cancelled Flighted and I'm needing some help reFlight Booking Problems.,negative,0
yes I do. I will get you exact data. Your download is fine it's your upload bandwidth and ping that are the issue. Ping especially,negative,0
then taxi across dfw airport for 20 min to then state 75 min past departing from gate that we need deiced? Wow. Uncool &amp; untrue,negative,0
YOU GUYS ARE HORRIBLE.,negative,0
not for me.  I am on another Ua flight 2 gates down that was held 15 mins for cnx pax.,negative,0
"already did- reply was ""sorry. we believe this to be fair."" as a journalist writing an article on my trip i will include this",neutral,1
one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!,negative,0
why would you board ppl on a plane b4 its their turn to de-ice? Why would you have ppl then wait through the hour long process?,negative,0
sure thing!,neutral,1
thank you! ❤️❤️❤️ you guys!,positive,2
system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.,negative,0
"wait times of 2 hours to talk with an exec plt agent, what is going on!!!",negative,0
you're the only airline that's not open sooner. It's not a confidence booster.,negative,0
My ticket was booked with AA with miles..... Sorry we sold you a ticket with a company we merged with but we can't fix it?,negative,0
Ever consider coming to Memphis?  Need some TrueBlue service and fares badly!!,neutral,1
please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,neutral,1
"&lt;3 &lt;3 RT !  Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!",negative,0
I need help with a missing bag.,negative,0
no thanks,neutral,1
Life goal: complete ✔️,positive,2
u suck!we have been sitting here for 9hrs because of ur negligence,negative,0
WELL...my paid tickets have NO assigned seats at all. So essentially I won't be on this flight unless I pay more.,negative,0
"just like clockwork, Friday afternoon flights from LAS to DEN running Late Flight. Why does this seem to happen so consistently #KeepIt100",negative,0
"That would be great! I never thought I'd be the sort who'd be into them, but it really makes the flying experience more bearable",positive,2
a nice trip back home after a looong vaca 😊🌴,positive,2
"I know that, thanks. Evaluate further ;-) ... -Chairman",positive,2
"however, is completely under your control—the price was and still is displayed on",negative,0
k thanks :),neutral,1
Who can I contact about requesting a charity donation? #ThankYou,neutral,1
flight 441 on 2/4 was delayed over three hours because the pilot never showed up!,negative,0
"I put it my ""to"" and ""from"" airports, click update and it tells me to put in my ""to"" and ""from"" airports.",negative,0
can you please DM me who I can speak with regarding my receipts and who I can email a presidential level complaint,negative,0
Can I get a follow? I fly with you for Christmas.,neutral,1
